"speaker","word","target_child_age_months","speech_act","corpus_id","target_child_id","count","total","rel_freq","ppt"
"child","and",24,"declarative",41,3141,25,2482,0.0100725221595488,10.0725221595488
"child","and",24,"declarative",46,3291,8,4054,0.00197335964479526,1.97335964479526
"child","and",24,"declarative",49,3384,12,942,0.0127388535031847,12.7388535031847
"child","and",24,"declarative",49,3386,1,378,0.00264550264550265,2.64550264550265
"child","and",24,"declarative",51,3764,8,1203,0.00665004156275977,6.65004156275977
"child","and",24,"declarative",51,3774,134,3304,0.0405569007263923,40.5569007263923
"child","and",24,"declarative",51,3789,33,3067,0.0107597000326052,10.7597000326052
"child","and",24,"declarative",51,3801,8,1392,0.00574712643678161,5.74712643678161
"child","and",24,"declarative",51,3810,4,915,0.00437158469945355,4.37158469945355
"child","and",24,"declarative",57,4084,17,2486,0.00683829444891392,6.83829444891392
"child","and",24,"declarative",65,4717,1,261,0.00383141762452107,3.83141762452107
"child","and",24,"declarative",69,5054,13,4211,0.00308715269532178,3.08715269532178
"child","and",24,"declarative",75,5193,1,778,0.0012853470437018,1.2853470437018
"child","and",24,"declarative",75,5204,2,1792,0.00111607142857143,1.11607142857143
"child","and",24,"declarative",78,5241,1,2234,0.00044762757385855,0.44762757385855
"child","and",24,"declarative",181,14346,10,5644,0.00177179305457123,1.77179305457123
"child","and",24,"declarative",184,14387,1,195,0.00512820512820513,5.12820512820513
"child","and",24,"declarative",184,14432,1,160,0.00625,6.25
"child","and",24,"declarative",184,14544,7,423,0.016548463356974,16.548463356974
"child","and",24,"declarative",184,14555,3,262,0.0114503816793893,11.4503816793893
"child","and",24,"declarative",184,14579,4,251,0.0159362549800797,15.9362549800797
"child","and",24,"declarative",184,14646,3,68,0.0441176470588235,44.1176470588235
"child","and",24,"declarative",187,14970,5,3357,0.00148942508191838,1.48942508191838
"child","and",24,"declarative",187,14975,5,2197,0.00227583067819754,2.27583067819754
"child","and",24,"declarative",187,14978,11,2516,0.00437201907790143,4.37201907790143
"child","and",24,"declarative",187,14982,67,3417,0.0196078431372549,19.6078431372549
"child","and",24,"declarative",187,14996,5,2362,0.00211685012701101,2.11685012701101
"child","and",24,"declarative",187,15001,16,1232,0.012987012987013,12.987012987013
"child","and",24,"declarative",187,15008,16,2307,0.00693541395752059,6.93541395752059
"child","and",24,"declarative",187,15014,28,3845,0.00728218465539662,7.28218465539662
"child","and",24,"declarative",187,15021,3,425,0.00705882352941176,7.05882352941177
"child","and",24,"declarative",187,15027,6,626,0.00958466453674121,9.58466453674121
"child","and",24,"declarative",187,15033,10,2752,0.00363372093023256,3.63372093023256
"child","and",24,"declarative",189,15058,218,28845,0.00755763563875888,7.55763563875888
"child","and",24,"declarative",189,15091,107,39731,0.00269311117263598,2.69311117263598
"child","and",24,"declarative",190,15110,7,1323,0.00529100529100529,5.29100529100529
"child","and",24,"declarative",191,15123,1,437,0.0022883295194508,2.2883295194508
"child","and",24,"declarative",191,15125,1,403,0.00248138957816377,2.48138957816377
"child","and",24,"declarative",191,15129,2,531,0.00376647834274953,3.76647834274953
"child","and",24,"declarative",191,15135,5,414,0.0120772946859903,12.0772946859903
"child","and",24,"declarative",191,15141,3,685,0.00437956204379562,4.37956204379562
"child","and",24,"declarative",191,15154,2,1005,0.00199004975124378,1.99004975124378
"child","and",24,"declarative",191,15160,2,548,0.00364963503649635,3.64963503649635
"child","and",24,"declarative",191,15163,4,859,0.00465657741559953,4.65657741559953
"child","and",24,"declarative",191,15165,3,773,0.00388098318240621,3.88098318240621
"child","and",24,"declarative",191,15167,1,1020,0.000980392156862745,0.980392156862745
"child","and",24,"declarative",192,15193,2,445,0.00449438202247191,4.49438202247191
"child","and",24,"imperative",51,3774,1,32,0.03125,31.25
"child","and",24,"imperative",189,15058,2,302,0.00662251655629139,6.62251655629139
"child","and",24,"imperative",189,15091,8,2582,0.00309837335398916,3.09837335398916
"child","and",24,"other",38,3088,3,48,0.0625,62.5
"child","and",24,"other",39,3136,12,175,0.0685714285714286,68.5714285714286
