"speech_act","speaker","target_child_age_months","utterance_count","total_utterance_count","utteranceType_relFreq","utteranceType_ppc"
"declarative","parent",14,17094,27458,0.622550804865613,62.2550804865613
"declarative","parent",15,6887,10347,0.66560355658645,66.560355658645
"declarative","parent",16,10424,15712,0.663441955193483,66.3441955193483
"declarative","parent",17,13307,20748,0.64136302294197,64.136302294197
"declarative","parent",18,17820,27005,0.659877800407332,65.9877800407332
"declarative","parent",19,22430,35379,0.633991916108426,63.3991916108426
"declarative","parent",20,24291,38811,0.625879261034243,62.5879261034243
"declarative","parent",21,20963,33654,0.622897723896119,62.2897723896119
"declarative","parent",22,21441,32586,0.657981955440987,65.7981955440987
"declarative","parent",23,36770,56385,0.652123791788596,65.2123791788596
"declarative","parent",24,77116,124150,0.621151832460733,62.1151832460733
"declarative","parent",25,62338,100221,0.622005368136418,62.2005368136418
"declarative","parent",26,62221,97122,0.640647844978481,64.0647844978481
"declarative","parent",27,56974,91897,0.619976713059186,61.9976713059186
"declarative","parent",28,63811,102981,0.619638574105903,61.9638574105903
"declarative","parent",29,63333,101893,0.621563797316793,62.1563797316793
"declarative","parent",30,69469,109851,0.632392968657545,63.2392968657545
"declarative","parent",31,66150,102158,0.647526380704399,64.7526380704399
"declarative","parent",32,58318,89499,0.651605045866434,65.1605045866434
"declarative","parent",33,62031,96714,0.641385942055959,64.1385942055959
"declarative","parent",34,59157,93767,0.630893597960903,63.0893597960903
"declarative","parent",35,43632,66941,0.65179785183968,65.179785183968
"declarative","parent",36,79512,124530,0.638496747771621,63.8496747771621
"declarative","parent",37,31517,48969,0.643611264269232,64.3611264269231
"declarative","parent",38,25835,39997,0.645923444258319,64.5923444258319
"declarative","parent",39,18145,27749,0.653897437745504,65.3897437745504
"declarative","parent",40,14516,22245,0.652551135086536,65.2551135086536
"declarative","parent",41,10517,16592,0.633859691417551,63.3859691417551
"declarative","parent",42,10920,17708,0.616670431443415,61.6670431443415
"declarative","parent",43,9992,15586,0.641088156037469,64.1088156037469
"declarative","parent",44,11199,18013,0.62171764836507,62.171764836507
"declarative","parent",45,13491,22399,0.602303674271173,60.2303674271173
"declarative","parent",46,12698,20004,0.634773045390922,63.4773045390922
"declarative","parent",47,9240,14537,0.635619453807526,63.5619453807526
"declarative","parent",48,13475,21013,0.641269690191786,64.1269690191786
"declarative","parent",49,10056,15261,0.658934539021034,65.8934539021034
"declarative","parent",50,11452,17673,0.64799411531715,64.7994115317151
"declarative","parent",51,9069,13888,0.653009792626728,65.3009792626728
