"speaker","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"child","or",53,"declarative",23,24572,0.000936024743610614,0.936024743610614
"child","or",53,"imperative",1,836,0.00119617224880383,1.19617224880383
"child","or",53,"other",4,1229,0.0032546786004882,3.2546786004882
"child","or",53,"question",10,5019,0.00199242877067145,1.99242877067145
"child","or",54,"declarative",32,30409,0.0010523200368312,1.0523200368312
"child","or",54,"other",1,1832,0.000545851528384279,0.545851528384279
"child","or",54,"question",10,8870,0.00112739571589628,1.12739571589628
"child","or",55,"declarative",16,27509,0.000581627830891708,0.581627830891708
"child","or",55,"other",3,1424,0.00210674157303371,2.10674157303371
"child","or",55,"question",11,6871,0.00160093145102605,1.60093145102605
"child","or",56,"declarative",14,27122,0.000516186121967407,0.516186121967407
"child","or",56,"other",3,930,0.0032258064516129,3.2258064516129
"child","or",56,"question",11,5051,0.00217778657691546,2.17778657691546
"child","or",57,"declarative",136,235919,0.000576469042340803,0.576469042340803
"child","or",57,"imperative",11,20867,0.000527148128624143,0.527148128624143
"child","or",57,"other",24,21592,0.00111152278621712,1.11152278621712
"child","or",57,"question",217,63073,0.00344045788213657,3.44045788213657
"child","or",58,"declarative",26,30409,0.000855010029925351,0.855010029925351
"child","or",58,"other",2,1470,0.00136054421768707,1.36054421768707
"child","or",58,"question",8,5723,0.00139786825091735,1.39786825091735
"child","or",59,"declarative",25,29214,0.000855754090504553,0.855754090504553
"child","or",59,"other",5,1790,0.00279329608938547,2.79329608938547
"child","or",59,"question",13,6507,0.00199784847087752,1.99784847087752
"child","or",60,"declarative",17,23619,0.000719759515644185,0.719759515644185
"child","or",60,"other",1,1341,0.000745712155108128,0.745712155108128
"child","or",60,"question",9,4292,0.00209692451071761,2.09692451071761
"child","or",61,"declarative",23,15533,0.00148071847035344,1.48071847035344
"child","or",61,"other",3,632,0.00474683544303797,4.74683544303798
"child","or",61,"question",3,2169,0.00138312586445367,1.38312586445367
"child","or",62,"declarative",16,15107,0.00105911167008671,1.05911167008671
"child","or",62,"question",5,3414,0.00146455770357352,1.46455770357352
"child","or",63,"declarative",9,11856,0.000759109311740891,0.759109311740891
"child","or",63,"other",1,591,0.00169204737732657,1.69204737732657
"child","or",63,"question",6,1997,0.00300450676014021,3.00450676014021
"child","or",64,"declarative",4,6891,0.000580467276157307,0.580467276157307
"child","or",64,"other",1,392,0.00255102040816327,2.55102040816327
"child","or",64,"question",3,1093,0.00274473924977127,2.74473924977127
"child","or",65,"declarative",6,6225,0.000963855421686747,0.963855421686747
"child","or",65,"question",1,1222,0.000818330605564648,0.818330605564648
"child","or",66,"declarative",10,9623,0.0010391769718383,1.0391769718383
"child","or",66,"imperative",1,975,0.00102564102564103,1.02564102564103
"child","or",66,"question",12,1937,0.00619514713474445,6.19514713474445
"child","or",67,"declarative",14,12271,0.00114090131203651,1.14090131203651
"child","or",67,"other",2,639,0.00312989045383412,3.12989045383412
"child","or",67,"question",8,2192,0.00364963503649635,3.64963503649635
"child","or",68,"declarative",6,11729,0.000511552562025748,0.511552562025748
"child","or",68,"other",1,647,0.00154559505409583,1.54559505409583
"child","or",68,"question",2,1454,0.00137551581843191,1.37551581843191
"child","or",69,"declarative",13,13527,0.000961040881200562,0.961040881200562
"child","or",69,"other",1,544,0.00183823529411765,1.83823529411765
"child","or",69,"question",3,2145,0.0013986013986014,1.3986013986014
"child","or",70,"declarative",7,8613,0.000812724950655985,0.812724950655985
"child","or",70,"other",1,574,0.00174216027874564,1.74216027874564
"child","or",70,"question",3,1135,0.0026431718061674,2.6431718061674
"child","or",71,"declarative",9,7873,0.00114314746602312,1.14314746602312
"child","or",71,"question",1,886,0.00112866817155756,1.12866817155756
"child","other",12,"declarative",2524,2524,1,1000
"child","other",12,"imperative",39,39,1,1000
"child","other",12,"other",2,2,1,1000
"child","other",12,"question",15,15,1,1000
"child","other",13,"declarative",1982,1982,1,1000
"child","other",13,"imperative",63,63,1,1000
"child","other",13,"other",104,105,0.990476190476191,990.47619047619
"child","other",13,"question",64,64,1,1000
"child","other",14,"declarative",5552,5553,0.999819917161894,999.819917161894
"child","other",14,"imperative",157,157,1,1000
"child","other",14,"other",426,426,1,1000
"child","other",14,"question",102,102,1,1000
